Redox,Coordination,Centroid,Intensity
0,4,7112.998231,0.313121272
0,6,7112.998231,0.089734321
0.1,4,7113.569575,0.129224652
0.1,6,7113.201651,0.089734321
0.2,4,7113.849057,0.16500994
0.2,6,7113.367925,0.089734321
0.3,4,7114.011792,0.198807157
0.3,6,7113.527123,0.089734321
0.4,4,7114.128538,0.229622266
0.4,6,7113.679245,0.089734321
0.5,4,7114.199292,0.265407555
0.5,6,7113.831368,0.089734321
0.6,4,7114.270047,0.296222664
0.6,6,7113.962264,0.089734321
0.7,4,7114.319575,0.337972167
0.7,6,7114.089623,0.089734321
0.8,4,7114.351415,0.374751491
0.8,6,7114.199292,0.089734321
0.9,4,7114.383255,0.4055666
0.9,6,7114.298349,0.089734321
1,4,7114.400943,0.427435388
1,6,7114.400943,0.089734321