file_name,data_type,scan_time
Chlo1_001_001.xdi,XANES,2016-06-25 14:55:05 UTC
Chlo1_002_001.xdi,XANES,2016-06-25 15:08:08 UTC
Chlo1_003_001.xdi,XANES,2016-06-25 15:21:10 UTC
chlo2_002_001.xdi,XANES,2016-06-23 22:00:17 UTC
chlo2_003_001.xdi,XANES,2016-06-23 22:13:34 UTC
chlo2_004_001.xdi,XANES,2016-06-23 22:26:30 UTC
clintonite_006_001.xdi,XANES,2016-06-23 22:56:36 UTC
clintonite_007_001.xdi,XANES,2016-06-23 23:09:33 UTC
clintonite_008_001.xdi,XANES,2016-06-23 23:22:40 UTC
OM14_07_001_001.xdi,XANES,2016-06-23 14:11:56 UTC
OM14_07_002_001.xdi,XANES,2016-06-23 14:26:57 UTC
OM14_07_003_001.xdi,XANES,2016-06-23 14:40:26 UTC
OM14_07_004_001.xdi,XANES,2016-06-23 15:14:31 UTC
OM14_07_005_001.xdi,XANES,2016-06-23 15:32:51 UTC
OM14_07_006_001.xdi,XANES,2016-06-23 15:52:14 UTC
OM14_07_007_001.xdi,XANES,2016-06-23 16:06:26 UTC
OM14_07_queue2_001_001.xdi,XANES,2016-06-25 16:32:35 UTC
OM14_07_queue2_002_001.xdi,XANES,2016-06-25 16:45:40 UTC
OM14_07_queue2_003_001.xdi,XANES,2016-06-25 16:58:45 UTC
OM14_07_queue2_004_001.xdi,XANES,2016-06-25 17:11:49 UTC
OM14_07_queue2_005_001.xdi,XANES,2016-06-25 17:24:55 UTC
shifted_Andradite_avg6scans.xdi,XANES,2016-06-22 22:50:59 UTC
shifted_olivine_std_avg3scans.xdi,XANES,2016-06-22 19:42:11 UTC
shifted_Sanidine_avg3scans_avg.xdi,XANES,2016-06-22 20:37:49 UTC
shifted_Siderite_avg3scans.xdi,XANES,2016-06-23 23:55:16 UTC
shifted_staurolite_avg3scans.xdi,XANES,2016-06-22 21:59:21 UTC
OM14_07_7109_0_003.hdf5,ME_map,2016-06-23 12:55:25 UTC
OM14_07_7110_1_003.hdf5,ME_map,2016-06-23 12:55:25 UTC
OM14_07_7111_2_003.hdf5,ME_map,2016-06-23 12:55:25 UTC
OM14_07_7112_3_003.hdf5,ME_map,2016-06-23 12:55:26 UTC
OM14_07_7113_4_003.hdf5,ME_map,2016-06-23 12:55:26 UTC
OM14_07_7114_2_003.hdf5,ME_map,2016-06-23 12:55:26 UTC
OM14_07_7114_8_003.hdf5,ME_map,2016-06-23 12:55:27 UTC
OM14_07_7115_8_003.hdf5,ME_map,2016-06-23 12:55:27 UTC
OM14_07_7117_2_003.hdf5,ME_map,2016-06-23 12:55:28 UTC
OM14_07_7200_0_003.hdf5,ME_map,2016-06-23 12:55:28 UTC
FeCalFinal_fine3_004_001.xdi,Foil_spectrum,2016-06-22 20:22:41 UTC
FeCalFinal_fine3_014_001.xdi,Foil_spectrum,2016-06-22 19:07:04 UTC
Fefoil_001_001.xdi,Foil_spectrum,2016-06-25 10:17:30 UTC
Fefoil_001_002.xdi,Foil_spectrum,2016-06-23 21:47:21 UTC
Fefoil_001_003.xdi,Foil_spectrum,2016-06-24 01:28:01 UTC
Fefoil_001_004.xdi,Foil_spectrum,2016-06-24 22:53:57 UTC
FeFoil_004_001.xdi,Foil_spectrum,2016-06-25 15:33:18 UTC
Fefoil_005_001.xdi,Foil_spectrum,2016-06-23 22:38:44 UTC
FeFoil_008_001.xdi,Foil_spectrum,2016-06-24 17:47:33 UTC
FeFoil_009_001.xdi,Foil_spectrum,2016-06-24 03:11:32 UTC
FeFoil_009_002.xdi,Foil_spectrum,2016-06-23 23:34:45 UTC
fefoil_011_001.xdi,Foil_spectrum,2016-06-25 08:21:04 UTC
Fefoil_012_001.xdi,Foil_spectrum,2016-06-25 01:16:57 UTC
FeFoil_013_001.xdi,Foil_spectrum,2016-06-24 00:33:28 UTC
FeFoil_013_002.xdi,Foil_spectrum,2016-06-26 00:53:46 UTC
FeFoil_014_001.xdi,Foil_spectrum,2016-06-22 22:37:49 UTC
fefoil_015_001.xdi,Foil_spectrum,2016-06-27 02:47:05 UTC
FeFoil_018_001.xdi,Foil_spectrum,2016-06-22 23:29:20 UTC
fefoil_020_001.xdi,Foil_spectrum,2016-06-25 14:25:16 UTC
FeFoil_022_001.xdi,Foil_spectrum,2016-06-23 00:23:48 UTC
FeFoil_023_001.xdi,Foil_spectrum,2016-06-23 01:09:06 UTC
FeFoil_023_002.xdi,Foil_spectrum,2016-06-23 14:55:49 UTC
FeFoil_025_001.xdi,Foil_spectrum,2016-06-23 17:44:39 UTC
FeFoil_026_001.xdi,Foil_spectrum,2016-06-23 18:35:54 UTC
Fefoil_028_001.xdi,Foil_spectrum,2016-06-24 15:28:15 UTC
Fefoil_031_001.xdi,Foil_spectrum,2016-06-25 05:49:00 UTC
Fefoil_032_001.xdi,Foil_spectrum,2016-06-25 21:49:56 UTC
fefoil_049_001.xdi,Foil_spectrum,2016-06-26 23:13:47 UTC
fefoil_050_001.xdi,Foil_spectrum,2016-06-27 04:08:26 UTC
fefoil_051_001.xdi,Foil_spectrum,2016-06-27 13:16:42 UTC
fefoil_052_001.xdi,Foil_spectrum,2016-06-27 16:50:09 UTC
foil_001_001.xdi,Foil_spectrum,2016-06-26 08:41:34 UTC
foil_010_001.xdi,Foil_spectrum,2016-06-26 10:38:22 UTC
foil_034_001.xdi,Foil_spectrum,2016-06-26 03:07:54 UTC
foil_039_001.xdi,Foil_spectrum,2016-06-26 04:12:30 UTC
foil_046_001.xdi,Foil_spectrum,2016-06-26 06:14:25 UTC
Foil47_001_001.xdi,Foil_spectrum,2016-06-26 12:10:23 UTC
Foil47_012_001.xdi,Foil_spectrum,2016-06-26 14:33:24 UTC
mydata_006_001.xdi,Foil_spectrum,2016-06-25 17:37:05 UTC
microscan10,Mono_scan,2016-06-27 04:15:20 UTC
monoscan11,Mono_scan,2016-06-27 16:37:37 UTC
monoscan3,Mono_scan,2016-06-25 01:44:26 UTC
monoscan4,Mono_scan,2016-06-25 05:36:32 UTC
monoscan5,Mono_scan,2016-06-25 08:41:25 UTC
Monoscan6,Mono_scan,2016-06-25 14:35:32 UTC
Monoscan7,Mono_scan,2016-06-25 17:51:21 UTC
Monoscan8,Mono_scan,2016-06-25 21:36:20 UTC
monoscan9,Mono_scan,2016-06-26 15:26:14 UTC